C�digo;Produto; Custo de compra ;
395;Vinho Tinto La Dame De Montrose Saint Estephe 2015 - Chateau Montrose; R$ 530,14 ;
113;Vinho Tinto La Piu Belle 2021 - Viña Vik; R$ 291,39 ;
519;Vinho Tinto La Piu Belle 2022 - Viña Vik; R$ 314,22 ;
314;Vinho Tinto Langhe DOC Nebbiolo Angelo 2022 - Mauro Veglio; R$ 175,73 ;
526;Vinho Tinto Langhe Dolcetto 2023 - Giuseppe Cortese; R$ 104,43 ;
617;Vinho Tinto Langhe Nebbiolo 2021 - Fontanafredda; R$ 134,47 ;
522;Vinho Tinto Langhe Nebbiolo 2023 - Castello Di Verduno; R$ 154,20 ;
466;Vinho Tinto Langhe Nebbiolo 2023 - Elio Altare; R$ 186,48 ;
424;Vinho Tinto Langhe Nebbiolo 2024 - Mario Costa; R$ 117,14 ;
338;Vinho Tinto Langhe Nebbiolo DOC Reggimento 2020 - Ratti; R$ 296,03 ;
347;Vinho Tinto Langhe Nebbiolo DOC Reggimento 2021 - Ratti; R$ 258,32 ;
491;Vinho Tinto Langhe Nebbiolo La Chiusa 2023 - Chionetti; R$ 143,61 ;
142;Vinho Tinto Las 3 Marias 2019 - Viña Gandolini; R$ 511,12 ;
179;Vinho Tinto Le Petit Clos 2020 - Clos Apalta; R$ 337,88 ;
115;Vinho Tinto Le Volte Dell'Ornellaia 2022 - Ornellaia; R$ 285,84 ;
225;Vinho Tinto Louis Jadot Beaujolais Villages Gamay 2024 - Louis Jadot; R$ 127,94 ;
209;Vinho Tinto Louis Jadot Bourgogne Couvent Des Jacobins Pinot Noir 2022 - Louis Jadot; R$ 210,41 ;
511;Vinho Tinto Lucente 2023 - Tenute Luce; R$ 297,47 ;
382;Vinho Tinto Macán Clássico 2020 - Vega Sicilia & Rothschild; R$ 578,54 ;
120;Vinho Tinto Malbec 2021 - Escorihuela Gascón; R$ 71,83 ;
306;Vinho Tinto Malbec 2022 - Escorihuela Gascón; R$ 65,94 ;
594;Vinho Tinto Malbec 2023 - Escorihuela Gascón; R$ 71,83 ;
135;Vinho Tinto Maldonado Tannat 2021 - Vinos de Mar; R$ 81,17 ;
206;Vinho Tinto Marqués de Murrieta Reserva 2019 - Marqués de Murrieta; R$ 242,45 ;
470;Vinho Tinto Marqués de Murrieta Reserva 2021 - Marqués de Murrieta; R$ 263,81 ;
499;Vinho Tinto Marquesa Alorna 2019 - Quinta da Alorna; R$ 203,81 ;
621;Vinho Tinto Mercurey 2022 - Albert Bichot; R$ 254,93 ;
109;Vinho Tinto Milla Cala 2021 - Viña Vik; R$ 185,99 ;
618;Vinho Tinto Milla Cala 2022 - Viña Vik; R$ 158,10 ;
197;Vinho Tinto Mirea Primitivo di Manduria DOP 2023 - Masseria Borgo dei Trulli; R$ 246,06 ;
556;Vinho Tinto Mirto 2018 - Ramon Bilbao; R$ 261,03 ;
247;Vinho Tinto Nebbiolo D'Alba DOC Bernardina Nebbiolo 2021 - Ceretto; R$ 199,70 ;
244;Vinho Tinto Nebbiolo D'alba DOC Vigna Lirano Nebbiolo 2022 - Rivetto; R$ 242,16 ;
507;Vinho Tinto Nipozzano Mormoreto 2022 - Frescobaldi; R$ 440,14 ;
503;Vinho Tinto Nuits Saint Georges 2019 - Albert Bichot; R$ 466,13 ;
557;Vinho Tinto Nuits Saint Georges 2021 - Albert Bichot; R$ 550,88 ;
340;Vinho Tinto Ochetti Langhe Nebbiolo 2021 - Ratti; R$ 206,93 ;
399;Vinho Tinto Ochetti Langhe Nebbiolo 2022 - Ratti; R$ 185,21 ;
509;Vinho Tinto Origines Pinot Noir 2023 - Albert Bichot; R$ 176,28 ;
122;Vinho Tinto Pequeñas Producciones Malbec 2021 - Escorihuela Gascón; R$ 141,75 ;
581;Vinho Tinto Petit Clos Block 487 Marselan 2020 - Bodega Garzón; R$ 328,80 ;
605;Vinho Tinto Petit Clos Pinot Noir 2023 - Bodega Garzón; R$ 328,80 ;
291;Vinho Tinto Pinot Nero 2021 - Franz Haas; R$ 199,40 ;
383;Vinho Tinto Pintia 2019 - Vega Sicilia; R$ 900,92 ;
298;Vinho Tinto Poggio Badiola 2022 - Mazzei; R$ 68,04 ;
508;Vinho Tinto Pommard 2022 - Albert Bichot; R$ 484,77 ;
140;Vinho Tinto Preludio Barrel Select 2019 - Familia Deicas; R$ 233,97 ;
